,http://devopsagainsthumanity.com
White Cards (noun or gerund - single word or phrase),Black Cards (direct question or fill-in-the-blank statement with one blank or two) (5 underscores = blank)
# TODO: figure out what this actually does,_____ as a service.
/r/talesfromtechsupport,_____ all the way down.
/var/log symlinked to /dev/null,_____ as code.
"# FIXME: For now, just don't validate",_____ because _____.
$60 QNAP and some positive thinking,_____ Considered Harmful
10 years since last update,_____ Driven Development.
"10,000 Nagios alerts per second",_____ for the win!
16 hour incident bridge.,"_____ is a feature, not a bug."
1996 Java applet,_____ is always a good practice.
2400 baud modem,_____ is the new _____.
3-hour standups,_____ is webscale.
"3.5"" floppy disk",_____ isn't cool. You know what's cool? _____
500-megabyte UDP packet,"_____ isn't new, we used to do it in the '70s on mainframes."
75-tier architecture,_____ or it didn't happen.
A 1:1 that goes straight to the bar.,_____ with this one weird trick.
A 50k line Bash script that's achieved self awareness,"_____, as one does."
A Certified SCRUM Master,"_____, for some values of _____."
A Cisco router with a flaky chip,"_____, is that even HA?"
A cluster of applications on a cluster of servers,"_____, the final solution."
A cron job that reboots the server every 5 minutes,_____? You can safely ignore that. Usually.
A German installation of Windows NT4,_____. Betcha can't have just one!
A Github Outage,_____. It's a trap!
A JAR full of spaghetti,_____. What could go wrong?
A mint-in-box AOL trial CD,...and then there was the time I found _____ on the root partition.
A page at 3 a.m.,"""Our release schedule doesn't have time for _____."""
"A posting on Craigslist ""internet engineers"" jobs forum","""There was no good solution for _____, so we built our own."""
A proof that P=NP written in BASIC,140 characters is just enough to explain _____.
a routing loop,A Beowulf cluster of _____.
A self-aware PHP script,Accidental _____.
A series of tiny shellscripts,"After _____ came up, the retrospective really went downhill."
A series of tubes,All that we had to do to halve our response times was implement _____.
A server rack full of crushed dreams,Amazon built a datacenter on the moon to lessen the risk of _____ causing problems.
A shared root password,And the Academy Award for _____ goes to _____.
A simple 15 level Hiera hierarachy,Artisanally crafted _____.
A swiss cheese firewall,Ask Me Anything about _____.
A time travel paradox.,"But before I kill you, Mr. Bond, I must show you _____."
A turducken made entirely of bash scripts,Conway's Game of _____.
A violation of the most basic engineering principles.,Could you just push this update for _____?  It should be a no-op.
A virtual machine running a virtual machine until it brings on the Singularity,Crossing _____ could lead to total protonic reversal.
A WSDL from 2003,Data-driven decisions are to be replaced with _____.
Accidentally the entire data center,DevOps: Now with 100% more _____!
Actually reading the manual,Did you know that we have _____ on pager rotation?
Agile,Employees must _____ before returning to work.
Agony Driven Development,Enterprise _____ in the cloud.
An epic caffeine bender,Enterprise-ready _____.
An Exchange email loop,Etsy says we should _____ everything.
An uncontrollable deluge of emails,Facebook has acquired _____ for $10b and _____.
An untested restore process,Free as in _____.
Apache 1.2 running as root,I came up with an awesome regex that converts _____ to _____.
Arch linux in production,I can haz _____.
ASAP,I cut-and-pasted this StackOverflow code for my _____.
Beating the server into submission with your bare hands.,"I don't have any UNIX Beards in stock, but we do have  _____"
Being acquired by Oracle,I got paged at 3am because of _____.
Being fabulous.,I just finished writing an API for _____.
Being on Fire.,I need a webinar like I need _____.
Blue Screen Of Death,"I need to re-munge the CSV, replacing the commas with _____."
branded hoodies,I never truly understood _____ until I encountered _____.
business value,I never truly understood eXtreme programming until I encountered _____.
Cache,I think maybe I'll leave _____ off my resumé.
CAP Theorem,I was up all night debugging _____.
Catapults.,I'm just finishing up my manifesto on _____.
